Region,רשות מקומית,מחזור סיום,מספר נבחנים,ממוצע ציון סופי,מחוז חינוך
west,אבו סנאן,2022,16,89.44,צפון
west,אבו סנאן,2023,20,91.15,צפון
east,בוקעאתה,2023,30,81.63,צפון
west,בית ג'ן,2022,41,85.05,צפון
west,בית ג'ן,2023,44,81.59,צפון
east,גולן,2022,20,91.7,צפון
east,גולן,2023,43,89.79,צפון
east,גוש חלב,2022,11,89.36,צפון
west,ג'דיידה-מכר,2022,45,87.56,צפון
west,ג'דיידה-מכר,2023,55,84.11,צפון
west,ג'וליס,2022,17,81.65,צפון
west,ג'וליס,2023,28,80.14,צפון
east,הגליל העליון,2022,37,88.86,צפון
east,הגליל העליון,2023,51,89.53,צפון
west,חורפיש,2022,24,85.5,צפון
west,חורפיש,2023,16,79.38,צפון
east,חצור הגלילית,2022,16,80.31,צפון
east,חצור הגלילית,2023,20,79.75,צפון
west,ירכא,2022,71,86.73,צפון
west,ירכא,2023,78,83.04,צפון
west,כסרא-סמיע,2022,24,92.88,צפון
west,כסרא-סמיע,2023,25,76.52,צפון
west,כפר ורדים,2022,22,90.64,צפון
west,כפר ורדים,2023,13,91.46,צפון
west,כפר יאסיף,2022,45,89.18,צפון
west,כפר יאסיף,2023,46,85.39,צפון
east,מג'דל שמס,2022,37,74.59,צפון
east,מג'דל שמס,2023,50,81.56,צפון
west,מטה אשר,2022,59,89.39,צפון
west,מטה אשר,2023,69,86.57,צפון
east,מסעדה,2022,22,70.68,צפון
west,מעיליא,2022,40,92.92,צפון
west,מעיליא,2023,38,92.5,צפון
west,מעלה יוסף,2022,17,91.82,צפון
west,מעלה יוסף,2023,22,82.64,צפון
west,מעלות-תרשיחא,2022,67,88.91,צפון
west,מעלות-תרשיחא,2023,77,86.73,צפון
west,נהריה,2022,96,86.08,צפון
west,נהריה,2023,83,89.17,צפון
west,עכו,2022,57,87.63,צפון
west,עכו,2023,81,84.57,צפון
east,צפת,2022,31,78.32,צפון
east,צפת,2023,33,76.79,צפון
east,קצרין,2022,12,86.83,צפון
east,קצרין,2023,12,83,צפון
east,קרית שמונה,2022,27,91.26,צפון
east,קרית שמונה,2023,23,81.87,צפון
west,אבו סנאן,2024,26,88.08,צפון
east,בוקעאתה,2024,19,76.16,צפון
west,בית ג'ן,2024,44,76.41,צפון
east,גולן,2024,26,87.85,צפון
west,ג'דיידה-מכר,2024,44,81.57,צפון
west,ג'וליס,2024,23,80.17,צפון
east,הגליל העליון,2024,51,92.37,צפון
west,חורפיש,2024,25,85.2,צפון
east,חצור הגלילית,2024,17,88.29,צפון
west,ירכא,2024,87,82.94,צפון
west,כסרא-סמיע,2024,23,81.61,צפון
west,כפר ורדים,2024,19,88.11,צפון
west,כפר יאסיף,2024,53,86.38,צפון
east,מג'דל שמס,2024,56,77.96,צפון
west,מטה אשר,2024,50,88.68,צפון
east,מסעדה,2024,18,68.83,צפון
west,מעיליא,2024,49,91.12,צפון
west,מעלה יוסף,2024,25,85.32,צפון
west,מעלות-תרשיחא,2024,71,87.76,צפון
west,נהריה,2024,62,86.5,צפון
west,עכו,2024,85,85.05,צפון
east,צפת,2024,32,76.47,צפון
east,קצרין,2024,11,75.73,צפון
east,קרית שמונה,2024,37,85.65,צפון
