Region,שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מקצוע,"י""ל",מספר נבחנים,ממוצע ציון סופי,סמל מוסד
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,אזרחות,2,120,72.69,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,אזרחות,2,105,77.98,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,אזרחות,2,130,78.58,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,אנגלית,3,38,74.47,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,אנגלית,4,40,74.6,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,אנגלית,5,42,83.55,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,אנגלית,3,32,74.31,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,אנגלית,4,20,70.85,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,אנגלית,5,52,84.21,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,אנגלית,3,37,69.62,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,אנגלית,4,40,72.9,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,אנגלית,5,53,82.38,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,ביולוגיה,5,42,75.95,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,ביולוגיה,5,28,76.89,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,ביולוגיה,5,26,71.12,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,גאוגרפיה,5,26,81.88,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,גאוגרפיה,5,18,75.44,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,גאוגרפיה,5,13,82.46,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,הסטוריה - בי'ס דרוזי,2,88,91.25,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,הסטוריה - בי'ס דרוזי,5,32,80.47,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,הסטוריה - בי'ס דרוזי,2,66,89.61,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,הסטוריה - בי'ס דרוזי,5,39,85.28,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,הסטוריה - בי'ס דרוזי,2,68,87.06,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,הסטוריה - בי'ס דרוזי,5,62,86.48,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,חנוך גופני,5,14,89,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,חנוך גופני,5,26,66.96,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,כימיה,5,28,81.18,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,כימיה,5,28,78,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,כימיה,5,27,75.78,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,מדעי המחשב,5,19,69.79,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,מדעי המחשב,5,21,76.05,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,מדעי המחשב,5,22,75.5,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,מדעי לימודי הסביבה,5,22,72.59,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,מדעי לימודי הסביבה,5,17,68.76,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,מדעי לימודי הסביבה,5,13,68.15,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,מנהל וכלכלה,5,28,78.04,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,מנהל וכלכלה,5,21,71.57,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,מנהל וכלכלה,5,21,60.33,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,מתמטיקה,3,69,70.3,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,מתמטיקה,4,24,80.58,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,מתמטיקה,5,21,76.67,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,מתמטיקה,3,54,65.67,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,מתמטיקה,4,34,80.97,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,מתמטיקה,5,13,73.46,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,מתמטיקה,3,76,61.43,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,מתמטיקה,4,34,73.59,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,מתמטיקה,5,20,76.85,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,ניהול משאבי אנוש,3,27,81.63,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,ניהול משאבי אנוש,3,21,80.33,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,ניהול משאבי אנוש,3,24,81.58,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,עברית בחינוך הדרוזי,3,61,60.15,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,עברית בחינוך הדרוזי,5,59,79.02,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,עברית בחינוך הדרוזי,3,36,61.83,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,עברית בחינוך הדרוזי,5,69,82.99,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,עברית בחינוך הדרוזי,3,65,63.6,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,עברית בחינוך הדרוזי,5,65,80.91,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,ערבית לדרוזים,3,68,71.49,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,ערבית לדרוזים,5,52,84.5,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,ערבית לדרוזים,3,68,76.09,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,ערבית לדרוזים,5,37,85.46,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,ערבית לדרוזים,3,56,69.23,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,ערבית לדרוזים,5,74,81.24,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,פיסיקה,5,20,83.25,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,פיסיקה,5,30,81.63,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2022,תכנון ותכנות מערכות,5,23,89.61,249219
east,שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,תכנון ותכנות מערכות,5,20,93.15,249219
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2022,אזרחות,2,14,79.14,631309
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2023,אזרחות,2,14,72.64,631309
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2022,הסטוריה,2,14,79.57,631309
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2023,הסטוריה,2,13,79.15,631309
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2022,חקלאות,5,14,88.64,631309
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2023,חקלאות,5,14,88.57,631309
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2022,ספרות,2,14,70,631309
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2023,ספרות,2,13,76,631309
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2022,עברית )לשון והבעה(,2,14,76.36,631309
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2023,עברית )לשון והבעה(,2,12,75.33,631309
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2022,תנ'ך,2,14,80,631309
east,אדם ואדמה גולן,גולן,ממלכתי,יהודי,2023,תנ'ך,2,14,78.36,631309
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2021,אזרחות,2,45,85.44,247098
east,תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,אזרחות,2,45,86.38,247098
