שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מספר נבחנים,ממוצע ציון סופי,סמל מוסד,מחוז תקשוב
אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2022,11,81.45,770776,צפון
אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2023,11,81.64,770776,צפון
אברט חצור הגלילית,חצור הגלילית,ממלכתי,יהודי,2024,11,86.91,770776,צפון
אורט דנציגר ק. שמונה,קרית שמונה,ממלכתי,יהודי,2021,22,87.23,240010,צפון
אורט דנציגר ק. שמונה,קרית שמונה,ממלכתי,יהודי,2022,25,91.04,240010,צפון
אורט דנציגר ק. שמונה,קרית שמונה,ממלכתי,יהודי,2023,18,80.39,240010,צפון
אורט דנציגר ק. שמונה,קרית שמונה,ממלכתי,יהודי,2024,28,82.57,240010,צפון
דרכא נופי גולן,קצרין,ממלכתי,יהודי,2022,11,86,240499,חינוך התישבותי
דרכא נופי גולן,קצרין,ממלכתי,יהודי,2023,11,81.82,240499,חינוך התישבותי
דרכא נופי גולן,קצרין,ממלכתי,יהודי,2024,11,75.73,240499,חינוך התישבותי
ישיבה תיכונית חיספין,גולן,ממלכתי דתי,יהודי,2021,16,93.75,240457,חינוך התישבותי
ישיבה תיכונית חיספין,גולן,ממלכתי דתי,יהודי,2022,19,91.79,240457,חינוך התישבותי
ישיבה תיכונית חיספין,גולן,ממלכתי דתי,יהודי,2023,23,89.96,240457,חינוך התישבותי
ישיבה תיכונית חיספין,גולן,ממלכתי דתי,יהודי,2024,15,89.6,240457,חינוך התישבותי
"ישיבת תיכונית אמי""ת",צפת,ממלכתי דתי,יהודי,2021,12,75.25,240234,צפון
"ישיבת תיכונית אמי""ת",צפת,ממלכתי דתי,יהודי,2022,11,78.36,240234,צפון
"ישיבת תיכונית אמי""ת",צפת,ממלכתי דתי,יהודי,2023,16,72.63,240234,צפון
"ישיבת תיכונית אמי""ת",צפת,ממלכתי דתי,יהודי,2024,11,73.55,240234,צפון
מקיף אנה פרנק,הגליל העליון,ממלכתי,יהודי,2021,13,91.54,280115,חינוך התישבותי
מקיף אנה פרנק,הגליל העליון,ממלכתי,יהודי,2023,14,92.86,280115,חינוך התישבותי
מקיף אנה פרנק,הגליל העליון,ממלכתי,יהודי,2024,13,93.15,280115,חינוך התישבותי
מקיף הר וגיא,הגליל העליון,ממלכתי,יהודי,2021,22,83.27,260307,חינוך התישבותי
מקיף הר וגיא,הגליל העליון,ממלכתי,יהודי,2022,12,87.42,260307,חינוך התישבותי
מקיף הר וגיא,הגליל העליון,ממלכתי,יהודי,2023,23,87,260307,חינוך התישבותי
מקיף הר וגיא,הגליל העליון,ממלכתי,יהודי,2024,25,91.88,260307,חינוך התישבותי
מקיף עמק החולה,הגליל העליון,ממלכתי,יהודי,2021,12,88.75,260232,חינוך התישבותי
מקיף עמק החולה,הגליל העליון,ממלכתי,יהודי,2022,13,87.46,260232,חינוך התישבותי
מקיף עמק החולה,הגליל העליון,ממלכתי,יהודי,2023,13,90.54,260232,חינוך התישבותי
עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2021,51,83.57,247858,צפון
עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2022,37,74.59,247858,צפון
עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2023,50,81.56,247858,צפון
עיוני מג'דל שמס,מג'דל שמס,ממלכתי,דרוזי,2024,56,77.96,247858,צפון
עמל בגין צפת,צפת,ממלכתי,יהודי,2022,11,76.09,270025,צפון
עמל בגין צפת,צפת,ממלכתי,יהודי,2024,12,72.25,270025,צפון
שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2021,20,83.25,249219,צפון
שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2023,30,81.63,249219,צפון
שש שנתי בוקעאתא,בוקעאתה,ממלכתי,דרוזי,2024,19,76.16,249219,צפון
תיכון מסעדה,מסעדה,ממלכתי,דרוזי,2021,20,79.7,247817,צפון
תיכון מסעדה,מסעדה,ממלכתי,דרוזי,2022,22,70.68,247817,צפון
תיכון מסעדה,מסעדה,ממלכתי,דרוזי,2024,18,68.83,247817,צפון
תיכון פה הזהב,גוש חלב,ממלכתי,ערבי,2022,11,89.36,247098,צפון
תיכון תמר,גולן,ממלכתי דתי,יהודי,2023,13,90.15,860353,חינוך התישבותי
תיכון תמר,גולן,ממלכתי דתי,יהודי,2024,11,85.45,860353,חינוך התישבותי
