Region,שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מקצוע,"י""ל",מספר נבחנים,ממוצע ציון סופי,סמל מוסד
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,אזרחות,2,178,78.55,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,אזרחות,2,153,79.77,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,אזרחות,2,167,77.34,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,אלקטרוניקה ומחשבים,5,28,96.79,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,אלקטרוניקה ומחשבים,5,37,97.19,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,אלקטרוניקה ומחשבים,5,36,94.56,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,אנגלית,3,57,62.68,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,אנגלית,4,64,75.58,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,אנגלית,5,45,91.82,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,אנגלית,3,32,69.91,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,אנגלית,4,40,74.4,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,אנגלית,5,67,88.06,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,אנגלית,3,41,68.49,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,אנגלית,4,55,69.71,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,אנגלית,5,55,90.93,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,ביולוגיה,5,36,71.72,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,ביולוגיה,5,48,75.02,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,ביולוגיה,5,45,66.2,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,הסטוריה - בי'ס דרוזי,2,172,83.83,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,הסטוריה - בי'ס דרוזי,2,153,90.56,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,הסטוריה - בי'ס דרוזי,2,167,87.11,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,כימיה,5,34,90.85,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,כימיה,5,33,92.55,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,כימיה,5,32,91,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,מדע וטכנולוגיה לכל,5,26,88.27,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,מדע וטכנולוגיה לכל,5,19,85.84,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,מדע וטכנולוגיה לכל,5,26,84.35,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,מדעי לימודי הסביבה,5,16,72.19,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,מדעי לימודי הסביבה,5,16,75,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,מנהל וכלכלה,5,27,74.19,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,מנהל וכלכלה,5,13,76.23,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,מנהל וכלכלה,5,14,78.36,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,מערכות אלקטרוניות,5,28,100,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,מערכות אלקטרוניות,5,37,100,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,מערכות אלקטרוניות,5,35,100,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,מתמטיקה,3,96,73.76,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,מתמטיקה,4,46,79.37,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,מתמטיקה,5,18,89,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,מתמטיקה,3,62,75.97,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,מתמטיקה,4,48,81.19,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,מתמטיקה,5,22,87.77,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,מתמטיקה,3,82,73.5,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,מתמטיקה,4,41,81.54,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,מתמטיקה,5,24,89.08,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,עברית בחינוך הדרוזי,3,112,68.89,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,עברית בחינוך הדרוזי,5,59,90.34,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,עברית בחינוך הדרוזי,3,92,70.95,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,עברית בחינוך הדרוזי,5,54,92.02,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,עברית בחינוך הדרוזי,3,116,65.38,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,עברית בחינוך הדרוזי,5,36,89.17,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,ערבית לדרוזים,3,34,66.32,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,ערבית לדרוזים,5,130,83.73,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,ערבית לדרוזים,3,32,69.88,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,ערבית לדרוזים,5,111,86.55,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,ערבית לדרוזים,3,14,63.64,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,ערבית לדרוזים,5,141,81.19,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,פיסיקה,5,18,90,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,פיסיקה,5,16,89.44,248559
west,אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,פיסיקה,5,20,91.15,248559
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,אזרחות,2,192,72.76,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,אזרחות,2,172,70.47,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,אזרחות,2,204,73.68,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,אלקטרוניקה ומחשבים,5,55,84.64,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,אלקטרוניקה ומחשבים,5,43,87.12,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,אלקטרוניקה ומחשבים,5,55,78.25,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,אנגלית,3,37,67.14,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,אנגלית,4,79,72.13,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,אנגלית,5,76,81.86,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,אנגלית,3,23,73.39,248179
west,"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,אנגלית,4,74,70.91,248179
