שם מוסד,רשות מקומית,פיקוח,מגזר,מחזור סיום,מספר נבחנים,ממוצע ציון סופי,סמל מוסד,מחוז תקשוב
אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2021,18,90,248559,צפון
אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2022,16,89.44,248559,צפון
אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2023,20,91.15,248559,צפון
אבו-סלים סלמאן אלשיך,אבו סנאן,ממלכתי,דרוזי,2024,26,88.08,248559,צפון
אולפנת צביה מעלות,מעלות-תרשיחא,ממלכתי דתי,יהודי,2024,12,85.17,244111,צפון
אופק,מטה אשר,ממלכתי,יהודי,2021,20,86,260125,חינוך התישבותי
אופק,מטה אשר,ממלכתי,יהודי,2022,13,86.08,260125,חינוך התישבותי
אופק,מטה אשר,ממלכתי,יהודי,2023,21,86.52,260125,חינוך התישבותי
אופק,מטה אשר,ממלכתי,יהודי,2024,14,92.5,260125,חינוך התישבותי
אורט אולפנת הראל,נהריה,ממלכתי דתי,יהודי,2022,11,86.45,240085,צפון
אורט מדעים ואומנויות,נהריה,ממלכתי,יהודי,2021,23,85.35,270298,צפון
אורט מדעים ואומנויות,נהריה,ממלכתי,יהודי,2022,24,86.42,270298,צפון
אורט מדעים ואומנויות,נהריה,ממלכתי,יהודי,2023,25,90.68,270298,צפון
אורט מדעים ואומנויות,נהריה,ממלכתי,יהודי,2024,25,89.84,270298,צפון
אורט שחקים נהריה,נהריה,ממלכתי,יהודי,2021,59,86.17,244152,צפון
אורט שחקים נהריה,נהריה,ממלכתי,יהודי,2022,49,85.82,244152,צפון
אורט שחקים נהריה,נהריה,ממלכתי,יהודי,2023,44,88.64,244152,צפון
אורט שחקים נהריה,נהריה,ממלכתי,יהודי,2024,29,85.52,244152,צפון
אמירים כפר ורדים,כפר ורדים,ממלכתי,יהודי,2021,14,96.86,244483,צפון
אמירים כפר ורדים,כפר ורדים,ממלכתי,יהודי,2022,15,90.8,244483,צפון
אמירים כפר ורדים,כפר ורדים,ממלכתי,יהודי,2024,12,91.08,244483,צפון
"בי""ס מקיף השלום דנון",מטה אשר,ממלכתי,ערבי,2021,11,88,247221,צפון
"בי""ס מקיף השלום דנון",מטה אשר,ממלכתי,ערבי,2023,15,81.67,247221,צפון
דרוזי מדעים ומנהיגות,ירכא,ממלכתי,דרוזי,2021,53,91.83,247387,צפון
דרוזי מדעים ומנהיגות,ירכא,ממלכתי,דרוזי,2022,41,92.78,247387,צפון
דרוזי מדעים ומנהיגות,ירכא,ממלכתי,דרוזי,2023,40,87.6,247387,צפון
דרוזי מדעים ומנהיגות,ירכא,ממלכתי,דרוזי,2024,49,88.49,247387,צפון
דרכא ג'וליס,ג'וליס,ממלכתי,דרוזי,2021,17,79.29,247833,צפון
דרכא ג'וליס,ג'וליס,ממלכתי,דרוזי,2022,17,81.65,247833,צפון
דרכא ג'וליס,ג'וליס,ממלכתי,דרוזי,2023,28,80.14,247833,צפון
דרכא ג'וליס,ג'וליס,ממלכתי,דרוזי,2024,23,80.17,247833,צפון
"חט""ע מכר-ג'דידה",ג'דיידה-מכר,ממלכתי,ערבי,2021,16,83.81,248757,צפון
"חט""ע מכר-ג'דידה",ג'דיידה-מכר,ממלכתי,ערבי,2022,16,80.31,248757,צפון
"חט""ע מכר-ג'דידה",ג'דיידה-מכר,ממלכתי,ערבי,2023,23,77.09,248757,צפון
"חט""ע מכר-ג'דידה",ג'דיידה-מכר,ממלכתי,ערבי,2024,15,71.6,248757,צפון
טרה סנטה,עכו,ממלכתי,ערבי,2021,12,90.75,247015,צפון
טרה סנטה,עכו,ממלכתי,ערבי,2024,12,87.08,247015,צפון
ישיבה תיכונית,מעלות-תרשיחא,ממלכתי דתי,יהודי,2021,12,84.67,460691,צפון
ישיבה תיכונית,מעלות-תרשיחא,ממלכתי דתי,יהודי,2024,12,86.83,460691,צפון
ישיבת אביר יעקב,נהריה,ממלכתי דתי,יהודי,2022,12,86.17,214098,צפון
ישיבת אביר יעקב,נהריה,ממלכתי דתי,יהודי,2023,11,88,214098,צפון
"כ""ג יורדי הסירה",עכו,ממלכתי,יהודי,2023,11,78.18,270033,חינוך התישבותי
"כברי חט""ע",מטה אשר,ממלכתי,יהודי,2021,17,87.24,260240,חינוך התישבותי
"כברי חט""ע",מטה אשר,ממלכתי,יהודי,2022,13,90.31,260240,חינוך התישבותי
"כברי חט""ע",מטה אשר,ממלכתי,יהודי,2023,16,92.44,260240,חינוך התישבותי
"כברי חט""ע",מטה אשר,ממלכתי,יהודי,2024,11,90.64,260240,חינוך התישבותי
מקיף אורט מעלות,מעלות-תרשיחא,ממלכתי,יהודי,2021,11,93,240465,צפון
מקיף אורט מעלות,מעלות-תרשיחא,ממלכתי,יהודי,2022,11,89.91,240465,צפון
מקיף אורט מעלות,מעלות-תרשיחא,ממלכתי,יהודי,2023,11,81.18,240465,צפון
מקיף אורט מעלות,מעלות-תרשיחא,ממלכתי,יהודי,2024,17,83.53,240465,צפון
מקיף אחווה ירכא,ירכא,ממלכתי,דרוזי,2021,39,79.87,800060,צפון
מקיף אחווה ירכא,ירכא,ממלכתי,דרוזי,2022,30,78.47,800060,צפון
מקיף אחווה ירכא,ירכא,ממלכתי,דרוזי,2023,38,78.24,800060,צפון
מקיף אחווה ירכא,ירכא,ממלכתי,דרוזי,2024,38,75.79,800060,צפון
"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2021,39,80.77,248179,צפון
"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2022,41,85.05,248179,צפון
"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2023,44,81.59,248179,צפון
"מקיף בית ג'ן חט""ב המ",בית ג'ן,ממלכתי,דרוזי,2024,44,76.41,248179,צפון
